,userId,gender,age,occupation,zipCode,age_group
1509,1510,Female,25,1,48067,Young (21-40 years)
4661,4662,Female,18,4,84109,Teenager (0-20 years)
3167,3168,Female,35,5,94546,Young (21-40 years)
228,229,Male,18,10,04576,Teenager (0-20 years)
530,531,Female,18,14,22206,Teenager (0-20 years)
2377,2378,Male,25,3,75150,Young (21-40 years)
1371,1372,Male,1,10,95123,Teenager (0-20 years)
4868,4869,Female,45,6,04578,Adult (41-60 years)
84,85,Male,18,4,94945,Teenager (0-20 years)
3926,3927,Female,25,16,67846,Young (21-40 years)
1022,1023,Male,56,13,92675,Adult (41-60 years)
4818,4819,Male,35,18,17350,Young (21-40 years)
676,677,Male,50,2,94122,Adult (41-60 years)
5903,5904,Female,45,12,954025,Adult (41-60 years)
5819,5820,Male,45,0,43615,Adult (41-60 years)
1448,1449,Male,35,20,17112,Young (21-40 years)
1657,1658,Female,35,6,94214,Young (21-40 years)
1695,1696,Male,35,7,95765,Young (21-40 years)
1669,1670,Female,56,13,95320,Adult (41-60 years)
5205,5206,Male,35,7,91302,Young (21-40 years)
4327,4328,Male,50,3,75650,Adult (41-60 years)
1616,1617,Male,25,12,44060,Young (21-40 years)
1097,1098,Male,35,7,94945,Young (21-40 years)
3515,3516,Male,18,4,42101,Teenager (0-20 years)
3103,3104,Male,18,17,02118,Teenager (0-20 years)
4635,4636,Male,18,2,10010,Teenager (0-20 years)
4570,4571,Male,35,7,21013,Young (21-40 years)
37,38,Female,18,4,02215,Teenager (0-20 years)
1498,1499,Male,1,10,19343,Teenager (0-20 years)
3646,3647,Male,25,7,80202,Young (21-40 years)
1454,1455,Female,45,0,92126,Adult (41-60 years)
2456,2457,Male,25,0,60656,Young (21-40 years)
691,692,Female,25,0,85207,Young (21-40 years)
2195,2196,Male,25,12,45140,Young (21-40 years)
3491,3492,Male,35,7,77005,Young (21-40 years)
706,707,Male,35,7,17740,Young (21-40 years)
1220,1221,Male,18,0,19134,Teenager (0-20 years)
5962,5963,Male,25,15,02140,Young (21-40 years)
2450,2451,Male,45,12,37853,Adult (41-60 years)
1406,1407,Female,35,15,53704,Young (21-40 years)
4766,4767,Female,35,9,03769,Young (21-40 years)
5206,5207,Male,25,0,98102,Young (21-40 years)
4600,4601,Male,35,14,55415,Young (21-40 years)
1892,1893,Female,35,0,90024,Young (21-40 years)
1514,1515,Male,25,16,48324,Young (21-40 years)
4028,4029,Female,56,3,21114,Adult (41-60 years)
506,507,Female,25,0,55405,Young (21-40 years)
3753,3754,Male,56,7,94612,Adult (41-60 years)
1566,1567,Male,25,12,06511,Young (21-40 years)
3340,3341,Male,25,20,91730,Young (21-40 years)
93,94,Male,25,17,28601,Young (21-40 years)
4645,4646,Female,25,6,90405,Young (21-40 years)
2119,2120,Male,1,0,02780,Teenager (0-20 years)
2323,2324,Male,35,17,50321,Young (21-40 years)
4925,4926,Male,1,10,55616,Teenager (0-20 years)
3887,3888,Male,45,17,02067,Adult (41-60 years)
3024,3025,Female,35,0,90004,Young (21-40 years)
1738,1739,Male,56,16,77079,Adult (41-60 years)
2306,2307,Male,25,17,02140,Young (21-40 years)
1699,1700,Male,25,20,98119,Young (21-40 years)
6029,6030,Male,25,17,32618,Young (21-40 years)
2380,2381,Female,35,9,13066,Young (21-40 years)
3872,3873,Female,45,2,94558,Adult (41-60 years)
783,784,Male,18,0,11040,Teenager (0-20 years)
535,536,Male,25,20,01267,Young (21-40 years)
4145,4146,Male,35,17,44301,Young (21-40 years)
1780,1781,Female,35,0,08009,Young (21-40 years)
5832,5833,Female,35,0,78253,Young (21-40 years)
1194,1195,Female,1,10,13907,Teenager (0-20 years)
3605,3606,Female,25,15,02445,Young (21-40 years)
5784,5785,Female,25,7,60607,Young (21-40 years)
1595,1596,Female,18,5,48108,Teenager (0-20 years)
1737,1738,Male,35,16,30034,Young (21-40 years)
1533,1534,Male,50,12,12184,Adult (41-60 years)
5522,5523,Male,35,0,60187,Young (21-40 years)
4053,4054,Male,35,3,68122,Young (21-40 years)
5302,5303,Female,56,6,45504,Adult (41-60 years)
263,264,Male,35,0,20755,Young (21-40 years)
625,626,Male,18,4,77005,Teenager (0-20 years)
3204,3205,Female,35,16,80304,Young (21-40 years)
4905,4906,Male,50,17,49506,Adult (41-60 years)
177,178,Male,56,17,53705,Adult (41-60 years)
1172,1173,Female,25,7,10019,Young (21-40 years)
2941,2942,Female,50,1,93103,Adult (41-60 years)
5169,5170,Male,18,4,63141,Teenager (0-20 years)
2826,2827,Male,25,17,94063,Young (21-40 years)
156,157,Male,35,16,12866,Young (21-40 years)
3618,3619,Male,50,16,97116,Adult (41-60 years)
2142,2143,Male,18,4,32607,Teenager (0-20 years)
1543,1544,Male,25,12,63146,Young (21-40 years)
1773,1774,Male,25,17,99003,Young (21-40 years)
31,32,Female,25,0,19355,Young (21-40 years)
1672,1673,Male,1,10,98043-3621,Teenager (0-20 years)
6032,6033,Male,50,13,78232,Adult (41-60 years)
5609,5610,Female,25,1,54880,Young (21-40 years)
3764,3765,Female,50,3,34744,Adult (41-60 years)
5996,5997,Female,25,7,10016,Young (21-40 years)
308,309,Male,25,4,16801,Young (21-40 years)
810,811,Male,50,0,94043,Adult (41-60 years)
4304,4305,Female,45,17,27616,Adult (41-60 years)
808,809,Male,25,17,70508,Young (21-40 years)
1183,1184,Female,25,4,92354,Young (21-40 years)
2144,2145,Male,18,10,32750,Teenager (0-20 years)
4383,4384,Male,25,0,43623,Young (21-40 years)
4832,4833,Male,35,16,81321,Young (21-40 years)
3198,3199,Male,18,0,57106,Teenager (0-20 years)
2937,2938,Female,25,0,55345,Young (21-40 years)
5851,5852,Female,25,1,94044,Young (21-40 years)
4862,4863,Female,25,9,84037,Young (21-40 years)
3405,3406,Female,25,7,85214,Young (21-40 years)
5186,5187,Male,18,16,06510,Teenager (0-20 years)
3352,3353,Male,35,17,92688,Young (21-40 years)
4480,4481,Male,25,18,26104,Young (21-40 years)
538,539,Male,25,2,55103,Young (21-40 years)
2622,2623,Male,56,1,30345,Adult (41-60 years)
1086,1087,Male,25,16,08826,Young (21-40 years)
4397,4398,Female,18,4,43612,Teenager (0-20 years)
3751,3752,Female,18,1,86314,Teenager (0-20 years)
80,81,Female,25,0,60640,Young (21-40 years)
3245,3246,Female,35,1,85258,Young (21-40 years)
1971,1972,Male,45,17,92111,Adult (41-60 years)
3859,3860,Male,45,17,44129,Adult (41-60 years)
501,502,Male,35,6,55126,Young (21-40 years)
3133,3134,Male,18,4,55455,Teenager (0-20 years)
1951,1952,Male,35,1,91030,Young (21-40 years)
3710,3711,Male,35,0,32506,Young (21-40 years)
4086,4087,Male,1,4,63376,Teenager (0-20 years)
5971,5972,Female,25,20,55428,Young (21-40 years)
1505,1506,Male,25,7,08550,Young (21-40 years)
1223,1224,Male,50,13,02125,Adult (41-60 years)
1654,1655,Male,18,4,94507,Teenager (0-20 years)
3660,3661,Male,35,12,08852,Young (21-40 years)
4006,4007,Male,35,12,88005,Young (21-40 years)
5453,5454,Male,35,7,10001,Young (21-40 years)
157,158,Male,56,7,28754,Adult (41-60 years)
3372,3373,Male,18,16,94709,Teenager (0-20 years)
5345,5346,Female,25,3,97330,Young (21-40 years)
787,788,Male,25,0,37601,Young (21-40 years)
233,234,Male,35,7,39652,Young (21-40 years)
469,470,Female,1,10,55068,Teenager (0-20 years)
5977,5978,Male,35,1,49307,Young (21-40 years)
5965,5966,Female,35,9,10021,Young (21-40 years)
4879,4880,Female,45,9,95030,Adult (41-60 years)
1163,1164,Female,25,19,90020,Young (21-40 years)
5876,5877,Male,18,12,02138,Teenager (0-20 years)
5870,5871,Female,25,4,01002,Young (21-40 years)
5719,5720,Male,25,0,60610,Young (21-40 years)
1002,1003,Male,25,2,19320,Young (21-40 years)
3085,3086,Male,18,12,98105,Teenager (0-20 years)
4855,4856,Male,25,7,94110,Young (21-40 years)
1047,1048,Male,35,6,75225,Young (21-40 years)
401,402,Male,25,11,55427,Young (21-40 years)
996,997,Male,1,19,15748,Teenager (0-20 years)
2412,2413,Female,56,7,06118,Adult (41-60 years)
3193,3194,Male,25,15,92648,Young (21-40 years)
1964,1965,Male,56,17,48304,Adult (41-60 years)
2348,2349,Male,25,8,50309,Young (21-40 years)
1732,1733,Male,18,14,43725,Teenager (0-20 years)
3833,3834,Male,18,2,02322,Teenager (0-20 years)
5599,5600,Female,45,0,12833-2000,Adult (41-60 years)
5696,5697,Male,25,0,95826,Young (21-40 years)
2707,2708,Male,25,7,44115,Young (21-40 years)
5142,5143,Male,18,4,44502,Teenager (0-20 years)
561,562,Male,35,20,48083,Young (21-40 years)
2619,2620,Male,18,4,47306,Teenager (0-20 years)
1728,1729,Male,25,7,53715,Young (21-40 years)
2572,2573,Male,45,16,94536,Adult (41-60 years)
4959,4960,Male,56,1,55116,Adult (41-60 years)
683,684,Male,25,4,27510,Young (21-40 years)
319,320,Male,35,6,99516,Young (21-40 years)
2417,2418,Female,1,10,06074,Teenager (0-20 years)
4139,4140,Male,25,0,32112,Young (21-40 years)
1075,1076,Female,25,3,27606,Young (21-40 years)
4127,4128,Male,35,6,60025,Young (21-40 years)
4539,4540,Female,25,14,94301,Young (21-40 years)
4195,4196,Male,35,14,14221,Young (21-40 years)
2042,2043,Male,25,14,37931,Young (21-40 years)
4793,4794,Female,35,0,46142,Young (21-40 years)
1074,1075,Female,25,6,60660,Young (21-40 years)
3849,3850,Male,18,3,92278,Teenager (0-20 years)
4428,4429,Male,25,5,85705,Young (21-40 years)
50,51,Female,1,10,10562,Teenager (0-20 years)
2809,2810,Female,1,10,64093,Teenager (0-20 years)
3442,3443,Female,35,17,48219,Young (21-40 years)
3411,3412,Male,25,18,85213,Young (21-40 years)
3634,3635,Male,50,1,60062,Adult (41-60 years)
4122,4123,Female,25,4,46807,Young (21-40 years)
4851,4852,Male,35,0,42025,Young (21-40 years)
3504,3505,Female,25,15,55455,Young (21-40 years)
4840,4841,Male,25,12,94114,Young (21-40 years)
3896,3897,Male,56,17,92069,Adult (41-60 years)
2820,2821,Male,18,20,10036,Teenager (0-20 years)
1916,1917,Male,18,10,92704,Teenager (0-20 years)
2114,2115,Male,35,17,01519,Young (21-40 years)
4506,4507,Male,18,4,61820,Teenager (0-20 years)
6007,6008,Male,18,4,78705,Teenager (0-20 years)
1507,1508,Female,1,10,94539,Teenager (0-20 years)
465,466,Male,25,5,55405,Young (21-40 years)
4121,4122,Male,18,19,82070,Teenager (0-20 years)
2018,2019,Male,50,1,27705,Adult (41-60 years)
1871,1872,Male,50,20,92106,Adult (41-60 years)
4857,4858,Male,25,1,04086,Young (21-40 years)
3154,3155,Male,25,7,55112,Young (21-40 years)
4235,4236,Female,25,3,07960,Young (21-40 years)
239,240,Male,50,17,55113,Adult (41-60 years)
199,200,Female,18,4,84321,Teenager (0-20 years)
926,927,Female,25,20,91105,Young (21-40 years)
346,347,Female,56,1,55305,Adult (41-60 years)
5446,5447,Male,45,2,60626,Adult (41-60 years)
2314,2315,Male,56,7,48114,Adult (41-60 years)
2662,2663,Female,25,4,02215,Young (21-40 years)
1765,1766,Female,45,0,94566,Adult (41-60 years)
4403,4404,Male,25,1,57106,Young (21-40 years)
2318,2319,Male,35,7,48104,Young (21-40 years)
2828,2829,Male,45,20,10013,Adult (41-60 years)
101,102,Male,35,19,20871,Young (21-40 years)
4343,4344,Male,25,1,44240,Young (21-40 years)
371,372,Female,18,4,72227,Teenager (0-20 years)
5667,5668,Female,25,3,41030,Young (21-40 years)
2083,2084,Male,18,4,23186,Teenager (0-20 years)
1073,1074,Male,45,17,48073,Adult (41-60 years)
3341,3342,Female,25,5,92705,Young (21-40 years)
4648,4649,Male,56,13,10025,Adult (41-60 years)
323,324,Male,35,17,55106,Young (21-40 years)
2943,2944,Female,18,4,48104,Teenager (0-20 years)
4366,4367,Male,35,0,52057,Young (21-40 years)
2402,2403,Male,18,4,37743,Teenager (0-20 years)
1119,1120,Male,18,4,95616,Teenager (0-20 years)
4790,4791,Male,18,4,55116,Teenager (0-20 years)
1383,1384,Male,18,10,98058,Teenager (0-20 years)
4651,4652,Female,25,7,94115,Young (21-40 years)
5470,5471,Male,18,7,10016,Teenager (0-20 years)
5321,5322,Male,35,17,97330,Young (21-40 years)
5310,5311,Male,50,0,62025-8000,Adult (41-60 years)
2917,2918,Male,25,12,98112,Young (21-40 years)
811,812,Male,25,6,37930,Young (21-40 years)
4576,4577,Male,35,7,48306,Young (21-40 years)
1706,1707,Male,50,1,95070,Adult (41-60 years)
3706,3707,Female,18,0,34744,Teenager (0-20 years)
2603,2604,Male,25,0,45459,Young (21-40 years)
2304,2305,Male,50,20,48104,Adult (41-60 years)
5769,5770,Male,25,0,80231,Young (21-40 years)
4293,4294,Male,1,10,75633,Teenager (0-20 years)
3211,3212,Female,25,17,11215,Young (21-40 years)
1891,1892,Male,25,20,90066,Young (21-40 years)
5228,5229,Male,25,0,60173,Young (21-40 years)
553,554,Male,25,12,94086,Young (21-40 years)
3459,3460,Male,1,4,10012,Teenager (0-20 years)
3718,3719,Male,25,1,39759,Young (21-40 years)
2890,2891,Female,18,4,66044,Teenager (0-20 years)
4301,4302,Male,50,1,45385,Adult (41-60 years)
439,440,Male,56,1,32940,Adult (41-60 years)
5306,5307,Male,25,5,85281,Young (21-40 years)
324,325,Female,50,3,55112,Adult (41-60 years)
1545,1546,Male,25,4,22903,Young (21-40 years)
2095,2096,Female,25,17,33990,Young (21-40 years)
325,326,Male,50,11,25302,Adult (41-60 years)
4996,4997,Male,1,10,90210,Teenager (0-20 years)
3717,3718,Male,50,17,07728,Adult (41-60 years)
132,133,Female,25,0,55071,Young (21-40 years)
5803,5804,Female,35,7,94306,Young (21-40 years)
800,801,Female,25,20,95776,Young (21-40 years)
5383,5384,Female,25,3,94117,Young (21-40 years)
5890,5891,Male,18,4,55404,Teenager (0-20 years)
5240,5241,Female,25,4,02138,Young (21-40 years)
2977,2978,Male,35,20,45236,Young (21-40 years)
2024,2025,Male,56,13,03440,Adult (41-60 years)
2098,2099,Female,18,0,48823,Teenager (0-20 years)
1569,1570,Male,18,17,75093,Teenager (0-20 years)
3727,3728,Male,18,4,07030,Teenager (0-20 years)
5674,5675,Male,35,14,30030,Young (21-40 years)
1057,1058,Male,25,1,97321,Young (21-40 years)
4563,4564,Male,35,12,19107,Young (21-40 years)
1483,1484,Male,25,12,07054,Young (21-40 years)
4129,4130,Male,35,6,48439,Young (21-40 years)
2900,2901,Male,25,17,78749,Young (21-40 years)
2447,2448,Male,35,6,37932,Young (21-40 years)
2476,2477,Male,45,0,42420,Adult (41-60 years)
1650,1651,Male,25,12,94520,Young (21-40 years)
1926,1927,Male,35,7,94806,Young (21-40 years)
1557,1558,Male,18,6,60611,Teenager (0-20 years)
4076,4077,Female,35,2,22030,Young (21-40 years)
168,169,Male,25,7,55439,Young (21-40 years)
2851,2852,Male,25,12,98037,Young (21-40 years)
1879,1880,Male,35,0,91006,Young (21-40 years)
2894,2895,Male,25,11,07039,Young (21-40 years)
1961,1962,Female,18,1,60914,Teenager (0-20 years)
1617,1618,Male,50,0,44139,Adult (41-60 years)
1176,1177,Female,25,17,01453,Young (21-40 years)
4340,4341,Male,35,17,33433,Young (21-40 years)
1038,1039,Female,35,1,02346,Young (21-40 years)
5582,5583,Male,56,15,37830,Adult (41-60 years)
5841,5842,Male,25,4,43201,Young (21-40 years)
5270,5271,Female,25,0,94110,Young (21-40 years)
230,231,Male,25,3,55455,Young (21-40 years)
5120,5121,Male,25,7,91608,Young (21-40 years)
4020,4021,Male,50,20,95236,Adult (41-60 years)
893,894,Male,18,4,31602,Teenager (0-20 years)
4333,4334,Male,25,1,70458,Young (21-40 years)
1893,1894,Female,35,7,94602,Young (21-40 years)
1559,1560,Female,25,3,85226,Young (21-40 years)
6005,6006,Female,1,0,01036,Teenager (0-20 years)
1335,1336,Female,50,20,95051,Adult (41-60 years)
5429,5430,Female,45,1,26505,Adult (41-60 years)
17,18,Female,18,3,95825,Teenager (0-20 years)
5108,5109,Female,45,6,19802,Adult (41-60 years)
2091,2092,Male,56,1,49006,Adult (41-60 years)
586,587,Male,25,20,92649,Young (21-40 years)
5814,5815,Male,25,20,90048,Young (21-40 years)
2358,2359,Male,56,13,13685,Adult (41-60 years)
5485,5486,Male,25,0,17821,Young (21-40 years)
4958,4959,Male,25,17,23454,Young (21-40 years)
1488,1489,Female,35,2,60201,Young (21-40 years)
3880,3881,Male,18,2,44515,Teenager (0-20 years)
2252,2253,Female,50,0,46815,Adult (41-60 years)
1825,1826,Male,45,11,49265,Adult (41-60 years)
4310,4311,Male,50,13,68502,Adult (41-60 years)
2775,2776,Male,25,14,22205,Young (21-40 years)
2432,2433,Male,25,4,22903,Young (21-40 years)
4274,4275,Female,45,16,14468,Adult (41-60 years)
3012,3013,Male,45,17,97124,Adult (41-60 years)
5267,5268,Female,25,2,68502,Young (21-40 years)
2887,2888,Male,25,14,55438,Young (21-40 years)
5160,5161,Male,25,4,30052,Young (21-40 years)
2245,2246,Male,25,0,60622,Young (21-40 years)
2197,2198,Female,35,9,46815,Young (21-40 years)
4022,4023,Female,35,9,32404,Young (21-40 years)
393,394,Male,18,0,55013,Teenager (0-20 years)
1694,1695,Male,25,1,97206,Young (21-40 years)
2149,2150,Female,18,4,22904,Teenager (0-20 years)
2629,2630,Female,18,5,78704,Teenager (0-20 years)
3477,3478,Male,25,7,10019,Young (21-40 years)
1370,1371,Female,50,2,60657,Adult (41-60 years)
1310,1311,Male,18,10,90274,Teenager (0-20 years)
2788,2789,Male,18,4,90025,Teenager (0-20 years)
6034,6035,Female,25,1,78734,Young (21-40 years)
14,15,Male,25,7,22903,Young (21-40 years)
2364,2365,Male,50,7,13203,Adult (41-60 years)
622,623,Male,25,17,60555,Young (21-40 years)
4765,4766,Male,35,16,10014,Young (21-40 years)
2960,2961,Male,50,17,91977,Adult (41-60 years)
534,535,Male,35,6,95370,Young (21-40 years)
472,473,Female,18,4,55112,Teenager (0-20 years)
410,411,Female,45,1,43214,Adult (41-60 years)
3641,3642,Female,25,7,98188,Young (21-40 years)
5047,5048,Female,35,7,30350,Young (21-40 years)
964,965,Male,56,7,10954,Adult (41-60 years)
5999,6000,Male,45,17,30075,Adult (41-60 years)
65,66,Male,25,18,57706,Young (21-40 years)
3567,3568,Male,25,0,98503,Young (21-40 years)
4686,4687,Male,35,14,01746,Young (21-40 years)
4258,4259,Male,35,17,45380,Young (21-40 years)
1840,1841,Male,18,0,95037,Teenager (0-20 years)
5443,5444,Female,18,4,55449,Teenager (0-20 years)
351,352,Male,18,4,60115,Teenager (0-20 years)
1199,1200,Male,1,0,97222,Teenager (0-20 years)
712,713,Male,35,7,79912,Young (21-40 years)
4974,4975,Male,35,0,90065,Young (21-40 years)
2077,2078,Male,18,4,13323,Teenager (0-20 years)
3787,3788,Female,18,0,94587,Teenager (0-20 years)
681,682,Male,25,4,27510,Young (21-40 years)
5783,5784,Male,18,10,56137,Teenager (0-20 years)
3011,3012,Male,25,12,78660,Young (21-40 years)
88,89,Female,56,9,85749,Adult (41-60 years)
2746,2747,Female,18,4,90025,Teenager (0-20 years)
5272,5273,Male,56,20,91030,Adult (41-60 years)
2680,2681,Female,25,4,48823,Young (21-40 years)
3070,3071,Male,25,1,02115,Young (21-40 years)
1261,1262,Male,25,4,22903,Young (21-40 years)
1425,1426,Male,18,14,94070,Teenager (0-20 years)
1186,1187,Female,1,0,90210,Teenager (0-20 years)
4051,4052,Male,25,2,43551,Young (21-40 years)
3897,3898,Male,45,11,01772,Adult (41-60 years)
3318,3319,Female,56,13,92308,Adult (41-60 years)
5355,5356,Male,45,0,78703,Adult (41-60 years)
4314,4315,Male,18,4,44266,Teenager (0-20 years)
420,421,Female,45,3,55125,Adult (41-60 years)
3018,3019,Male,50,12,97330,Adult (41-60 years)
3881,3882,Male,56,14,55337,Adult (41-60 years)
373,374,Female,35,14,55346,Young (21-40 years)
2799,2800,Female,18,4,73070,Teenager (0-20 years)
599,600,Male,35,17,66209,Young (21-40 years)
2584,2585,Male,45,15,64081-8102,Adult (41-60 years)
3780,3781,Female,56,11,54401,Adult (41-60 years)
2405,2406,Female,56,12,01520,Adult (41-60 years)
4610,4611,Female,18,4,78705,Teenager (0-20 years)
1874,1875,Male,35,12,94107,Young (21-40 years)
576,577,Male,35,0,02115,Young (21-40 years)
3711,3712,Male,25,17,60042,Young (21-40 years)
2441,2442,Male,35,17,36830,Young (21-40 years)
3034,3035,Female,25,7,90230,Young (21-40 years)
3063,3064,Male,35,17,90026,Young (21-40 years)
3383,3384,Male,35,7,91304,Young (21-40 years)
4309,4310,Male,25,4,57006,Young (21-40 years)
476,477,Male,35,14,55410,Young (21-40 years)
3571,3572,Male,35,11,04287,Young (21-40 years)
3742,3743,Female,35,7,89128,Young (21-40 years)
2646,2647,Female,35,11,15116,Young (21-40 years)
2498,2499,Male,50,0,36109,Adult (41-60 years)
3982,3983,Male,25,0,30606,Young (21-40 years)
181,182,Male,18,4,03052,Teenager (0-20 years)
1817,1818,Male,1,8,02254,Teenager (0-20 years)
4760,4761,Male,18,15,21042,Teenager (0-20 years)
4081,4082,Male,25,20,79912,Young (21-40 years)
4201,4202,Male,25,7,21234,Young (21-40 years)
5462,5463,Male,35,0,53202,Young (21-40 years)
812,813,Male,18,4,70002,Teenager (0-20 years)
696,697,Female,50,6,97330,Adult (41-60 years)
2683,2684,Female,18,0,19143,Teenager (0-20 years)
1244,1245,Male,25,17,80461,Young (21-40 years)
1480,1481,Male,35,17,77096,Young (21-40 years)
1039,1040,Male,25,11,76309,Young (21-40 years)
3616,3617,Male,35,7,49034,Young (21-40 years)
2650,2651,Male,56,14,11779,Adult (41-60 years)
259,260,Male,18,19,98126,Teenager (0-20 years)
279,280,Male,50,7,19118,Adult (41-60 years)
1662,1663,Male,18,4,77845,Teenager (0-20 years)
1963,1964,Female,25,6,89523,Young (21-40 years)
198,199,Male,18,4,83706,Teenager (0-20 years)
5736,5737,Male,45,15,93555,Adult (41-60 years)
5516,5517,Male,56,0,80210,Adult (41-60 years)
2594,2595,Male,18,4,15213,Teenager (0-20 years)
2753,2754,Male,50,12,60148,Adult (41-60 years)
5076,5077,Male,25,2,20037,Young (21-40 years)
