,userId,age,gender,occupation,zipCode
383,384,52,M,programmer,45218
386,387,33,M,entertainment,37412
391,392,52,M,writer,59801
392,393,19,M,student,83686
393,394,25,M,administrator,96819
394,395,43,M,other,44092
398,399,25,M,other,92374
409,410,30,F,artist,94025
412,413,55,M,educator,78212
414,415,39,M,educator,85711
433,434,16,F,student,49705
436,437,27,F,other,20009
437,438,51,F,administrator,43204
442,443,35,M,salesman,33308
449,450,35,F,educator,11758
452,453,18,M,student,06333
463,464,60,M,writer,94583
466,467,29,M,engineer,91201
468,469,60,M,educator,78628
473,474,51,M,executive,93711
474,475,30,M,programmer,75230
477,478,29,M,other,10019
483,484,27,M,student,21208
490,491,43,F,writer,53711
501,502,22,M,student,23092
504,505,27,F,other,20657
509,510,34,M,other,98038
515,516,53,F,librarian,10021
516,517,24,M,student,55454
521,522,36,M,engineer,55443
523,524,56,M,educator,02159
525,526,30,M,marketing,97124
533,534,20,M,student,05464
544,545,27,M,technician,08052
545,546,36,M,executive,22911
547,548,51,M,writer,95468
549,550,16,F,student,95453
550,551,25,M,programmer,55414
553,554,32,M,scientist,62901
555,556,35,F,educator,30606
556,557,30,F,writer,11217
562,563,39,F,librarian,32707
566,567,24,M,entertainment,10003
569,570,26,M,educator,14627
570,571,34,M,artist,01945
571,572,51,M,educator,20003
574,575,33,M,marketing,46032
578,579,32,M,educator,48103
584,585,69,M,librarian,98501
595,596,20,M,artist,77073
601,602,47,F,other,34656
602,603,21,M,programmer,47905
606,607,49,F,healthcare,02154
607,608,22,M,other,10003
608,609,13,F,student,55106
615,616,55,M,scientist,50613
618,619,17,M,student,44134
621,622,25,M,programmer,14850
623,624,19,M,student,30067
626,627,24,M,engineer,08034
628,629,46,F,other,44224
638,639,42,F,librarian,12065
645,646,17,F,student,51250
647,648,43,M,engineer,91351
648,649,20,M,student,39762
655,656,48,M,educator,10314
659,660,26,M,student,77380
660,661,28,M,programmer,98121
661,662,55,M,librarian,19102
663,664,30,M,engineer,94115
668,669,37,M,other,20009
670,671,21,M,programmer,91919
676,677,20,M,other,99835
680,681,44,F,marketing,97208
682,683,42,M,librarian,23509
691,692,34,M,engineer,18053
692,693,43,F,healthcare,85210
697,698,28,F,programmer,06906
701,702,37,M,other,89104
703,704,51,F,librarian,91105
704,705,21,F,student,54494
706,707,56,F,librarian,19146
709,710,19,M,student,92020
719,720,49,F,administrator,16506
723,724,31,M,executive,40243
726,727,25,M,student,78741
738,739,35,M,technician,73162
739,740,25,F,educator,22206
740,741,25,M,writer,63108
741,742,35,M,student,29210
743,744,35,M,marketing,47024
744,745,42,M,writer,55113
750,751,24,F,other,90034
751,752,60,M,retired,21201
752,753,56,M,salesman,91206
754,755,44,F,educator,97007
759,760,35,F,other,14211
761,762,32,M,administrator,95050
763,764,27,F,educator,62903
765,766,42,M,other,10960
768,769,39,M,executive,06927
770,771,26,M,student,15232
779,780,49,M,programmer,94560
780,781,20,M,student,48825
782,783,30,M,marketing,77081
783,784,47,M,administrator,91040
785,786,36,F,engineer,01754
787,788,51,M,administrator,05779
788,789,29,M,other,55420
792,793,22,M,student,85281
795,796,32,F,writer,33755
797,798,40,F,writer,64131
800,801,22,M,writer,92154
806,807,41,F,healthcare,93555
816,817,19,M,student,60152
817,818,28,M,librarian,27514
825,826,28,M,artist,77048
829,830,46,M,programmer,53066
831,832,24,M,technician,77042
832,833,34,M,writer,90019
834,835,44,F,executive,11577
842,843,35,M,librarian,44212
847,848,46,M,engineer,02146
854,855,53,M,librarian,04988
855,856,43,F,marketing,97215
870,871,31,M,executive,44648
873,874,36,M,scientist,37076
874,875,24,F,student,35802
876,877,30,M,other,77504
879,880,13,M,student,83702
887,888,41,M,scientist,17036
890,891,51,F,administrator,03062
896,897,30,M,other,33484
897,898,23,M,homemaker,61755
898,899,32,M,other,55116
899,900,60,M,retired,18505
901,902,45,F,artist,97203
907,908,44,F,librarian,68504
913,914,44,F,other,08105
914,915,50,M,entertainment,60614
916,917,22,F,student,20006
917,918,40,M,scientist,70116
919,920,30,F,artist,90008
921,922,29,F,administrator,21114
925,926,49,M,entertainment,01701
926,927,23,M,programmer,55428
929,930,28,F,scientist,07310
933,934,61,M,engineer,22902
935,936,24,M,other,32789
937,938,38,F,technician,55038
941,942,48,F,librarian,78209
942,943,22,M,student,77841
